Year,Value,Group,upper,lower,Scale,Stdev,Type
1,107561.123590669,FCD.juv,1,1,1,10756.1123590669,index
2,73490.8771097161,FCD.juv,1,1,1,7349.087710971609,index
3,89702.1992804051,FCD.juv,1,1,1,8970.21992804051,index
4,69653.91128360681,FCD.juv,1,1,1,6965.391128360681,index
5,103318.972989004,FCD.juv,1,1,1,10331.8972989004,index
6,109094.74857317912,FCD.juv,1,1,1,10909.474857317911,index
7,105491.5203182005,FCD.juv,1,1,1,10549.152031820053,index
8,97934.27413091713,FCD.juv,1,1,1,9793.427413091713,index
9,65682.8758584292,FCD.juv,1,1,1,6568.28758584292,index
10,84861.0608907093,FCD.juv,1,1,1,8486.10608907093,index
11,66449.5219877005,FCD.juv,1,1,1,6644.95219877005,index
12,54068.1584176975,FCD.juv,1,1,1,5406.815841769751,index
13,64956.9116412474,FCD.juv,1,1,1,6495.691164124741,index
14,64155.27380925431,FCD.juv,1,1,1,6415.527380925431,index
15,67106.5937892954,FCD.juv,1,1,1,6710.65937892954,index
16,84480.7770506569,FCD.juv,1,1,1,8448.07770506569,index
17,102387.9191475551,FCD.juv,1,1,1,10238.791914755511,index
18,83486.5193247109,FCD.juv,1,1,1,8348.65193247109,index
19,80819.8335629553,FCD.juv,1,1,1,8081.983356295531,index
20,79071.0252071066,FCD.juv,1,1,1,7907.102520710661,index
21,68130.9575976517,FCD.juv,1,1,1,6813.0957597651695,index
22,82489.85109348841,FCD.juv,1,1,1,8248.985109348841,index
23,82639.0436111384,FCD.juv,1,1,1,8263.90436111384,index
24,69770.3697796508,FCD.juv,1,1,1,6977.036977965081,index
25,78063.24550104451,FCD.juv,1,1,1,7806.324550104451,index
26,83977.0305987748,FCD.juv,1,1,1,8397.70305987748,index
27,80364.4348500788,FCD.juv,1,1,1,8036.443485007881,index
28,59017.7892724565,FCD.juv,1,1,1,5901.77892724565,index
1,679849,FCD.adult,710439.4,656083,1,67984.90000000001,index
