Year,Value,Group,Stdev,Type,Scale,Fvalue
1,7539.7492862224,FCD.juv,753.97492862224,Catch,1,0.0338228
2,2467.7572907904,FCD.juv,246.77572907904,Catch,1,0.0343152
3,4076.453372082,FCD.juv,407.6453372082,Catch,1,0.0415877
4,2981.213750325,FCD.juv,298.1213750325,Catch,1,0.048607
5,13048.9270001412,FCD.juv,1304.8927000141202,Catch,1,0.0492477
6,19185.8026691492,FCD.juv,1918.58026691492,Catch,1,0.0460829
7,7575.8236210657,FCD.juv,757.5823621065701,Catch,1,0.0384633
8,7132.335476399999,FCD.juv,713.2335476399999,Catch,1,0.0376664
9,1951.3002536744,FCD.juv,195.13002536744003,Catch,1,0.0397031
10,6068.108178896399,FCD.juv,606.8108178896399,Catch,1,0.0374371
11,3616.4335140736,FCD.juv,361.64335140736006,Catch,1,0.0354243
12,2112.1206932462,FCD.juv,211.21206932462,Catch,1,0.0326469
13,3296.8899922176,FCD.juv,329.68899922176,Catch,1,0.0326572
14,3656.80747432,FCD.juv,365.680747432,Catch,1,0.035135
15,3747.22724244,FCD.juv,374.72272424400006,Catch,1,0.0297436
16,4314.4979232921,FCD.juv,431.44979232921,Catch,1,0.0276331
17,4651.884060096,FCD.juv,465.1884060096,Catch,1,0.028038800000000003
18,6343.3867481856,FCD.juv,634.33867481856,Catch,1,0.030166400000000003
19,5035.711265416,FCD.juv,503.5711265416001,Catch,1,0.0271676
20,6091.296774544799,FCD.juv,609.1296774544799,Catch,1,0.0259978
21,2857.7214017289,FCD.juv,285.77214017289003,Catch,1,0.026783300000000003
22,5090.6648261976,FCD.juv,509.06648261976,Catch,1,0.0268116
23,5624.008455105,FCD.juv,562.4008455105,Catch,1,0.029139
24,3261.182027795999,FCD.juv,326.1182027795999,Catch,1,0.0317098
25,3172.1690674593924,FCD.juv,317.21690674593924,Catch,1,0.0349536
26,5015.7099174868135,FCD.juv,501.57099174868137,Catch,1,0.0322423
