Year,Value,Group,Stdev,Type,Scale,Fvalue
1,7539.4863018020005,FCD.juv,753.9486301802001,Catch,1,0.0338565
2,2467.741447012799,FCD.juv,246.77414470127994,Catch,1,0.0343214
3,4076.354694594,FCD.juv,407.63546945940004,Catch,1,0.04161089999999999
4,2981.4685059075,FCD.juv,298.14685059075003,Catch,1,0.0485257
5,13050.556139124,FCD.juv,1305.0556139124,Catch,1,0.049129
6,19185.118838981198,FCD.juv,1918.5118838981198,Catch,1,0.0461169
7,7575.6896802587,FCD.juv,757.56896802587,Catch,1,0.0384803
8,7132.63119525,FCD.juv,713.2631195250001,Catch,1,0.0376265
9,1951.4221722343991,FCD.juv,195.14221722343993,Catch,1,0.0396431
10,6068.811718242,FCD.juv,606.8811718242,Catch,1,0.0373255
11,3616.614977676799,FCD.juv,361.6614977676799,Catch,1,0.0353759
12,2112.1951472544,FCD.juv,211.21951472544004,Catch,1,0.0326128
13,3300.9075689472,FCD.juv,330.09075689472,Catch,1,0.0314784
14,3661.778775345599,FCD.juv,366.1778775345599,Catch,1,0.0338233
15,3751.5323253100005,FCD.juv,375.15323253100007,Catch,1,0.028628900000000002
16,4318.979847092999,FCD.juv,431.8979847092999,Catch,1,0.026623
17,4656.865890768,FCD.juv,465.68658907680003,Catch,1,0.026997900000000002
18,6351.067487498401,FCD.juv,635.1067487498401,Catch,1,0.0289921
19,5041.092588480001,FCD.juv,504.1092588480001,Catch,1,0.026128000000000002
20,6097.762039824001,FCD.juv,609.7762039824,Catch,1,0.024964
21,2860.868306242799,FCD.juv,286.0868306242799,Catch,1,0.0257116
22,5096.321536597199,FCD.juv,509.63215365971996,Catch,1,0.0257302
23,5629.883517936,FCD.juv,562.9883517936,Catch,1,0.028124800000000002
24,3263.823871308,FCD.juv,326.3823871308,Catch,1,0.030925400000000002
25,3173.0966768581084,FCD.juv,317.30966768581084,Catch,1,0.0346714
26,5022.93890899255,FCD.juv,502.293890899255,Catch,1,0.0308475
27,3983.00536852316,FCD.juv,398.30053685231604,Catch,1,0.0256235
28,2040.0140229056271,FCD.juv,204.00140229056274,Catch,1,0.022982600000000002
29,1007.4143202527711,FCD.juv,100.7414320252771,Catch,1,0.024871800000000003
1,180701,FCD.adult,18070.100000000002,Catch,1,0.55
2,203112,FCD.adult,20311.2,Catch,1,0.55
3,243987,FCD.adult,24398.7,Catch,1,0.67
4,260147,FCD.adult,26014.7,Catch,1,0.78
5,235092,FCD.adult,23509.2,Catch,1,0.79
6,236702,FCD.adult,23670.2,Catch,1,0.74
7,209544,FCD.adult,20954.4,Catch,1,0.62
8,207246,FCD.adult,20724.600000000002,Catch,1,0.61
9,228342,FCD.adult,22834.2,Catch,1,0.64
10,213867,FCD.adult,21386.7,Catch,1,0.6
11,197202,FCD.adult,19720.2,Catch,1,0.57
12,171646,FCD.adult,17164.600000000002,Catch,1,0.53
13,147676,FCD.adult,14767.6,Catch,1,0.38
14,183320,FCD.adult,18332,Catch,1,0.40999999999999986
15,170025,FCD.adult,17002.5,Catch,1,0.34999999999999987
