Year,Value,Group,upper,lower,Scale,Stdev,Type
1,107518.0435582238,FCD.juv,1,1,1,10751.804355822382,index
2,73372.1581462283,FCD.juv,1,1,1,7337.215814622831,index
3,89413.63560063491,FCD.juv,1,1,1,8941.363560063492,index
4,69658.4026562497,FCD.juv,1,1,1,6965.840265624971,index
5,103310.6282021826,FCD.juv,1,1,1,10331.06282021826,index
6,108979.5449291879,FCD.juv,1,1,1,10897.95449291879,index
7,105352.7066178538,FCD.juv,1,1,1,10535.27066178538,index
8,97842.695918568,FCD.juv,1,1,1,9784.2695918568,index
9,65595.09924598859,FCD.juv,1,1,1,6559.5099245988595,index
10,84850.46068248631,FCD.juv,1,1,1,8485.046068248632,index
11,66328.18745199601,FCD.juv,1,1,1,6632.818745199602,index
12,54022.662636883106,FCD.juv,1,1,1,5402.266263688311,index
13,64956.9890933229,FCD.juv,1,1,1,6495.698909332291,index
14,64166.7856873737,FCD.juv,1,1,1,6416.67856873737,index
15,67092.30110045681,FCD.juv,1,1,1,6709.230110045682,index
16,84289.29183819122,FCD.juv,1,1,1,8428.929183819122,index
17,102039.1011638568,FCD.juv,1,1,1,10203.91011638568,index
18,83248.569059083,FCD.juv,1,1,1,8324.8569059083,index
19,80666.6079945518,FCD.juv,1,1,1,8066.6607994551805,index
20,78975.5688774024,FCD.juv,1,1,1,7897.55688774024,index
21,67884.80139819281,FCD.juv,1,1,1,6788.480139819281,index
22,80572.05150758251,FCD.juv,1,1,1,8057.205150758251,index
23,78190.7200749553,FCD.juv,1,1,1,7819.072007495531,index
24,71219.7336780443,FCD.juv,1,1,1,7121.97336780443,index
25,79105.472580142,FCD.juv,1,1,1,7910.5472580142,index
26,85580.5171708428,FCD.juv,1,1,1,8558.05171708428,index
27,80728.203350653,FCD.juv,1,1,1,8072.8203350653,index
28,57275.462537982,FCD.juv,1,1,1,5727.5462537982,index
29,53998.2710431122,FCD.juv,1,1,1,5399.827104311221,index
1,679849,FCD.adult,710439.4,656083,1,67984.90000000001,index
2,797531,FCD.adult,834174.0999999999,768794.8,1,79753.1,index
3,739073,FCD.adult,772539.9,711478.15,1,73907.3,index
4,729258,FCD.adult,760863.8,703766,1,72925.8,index
5,590621,FCD.adult,614244.2,561759.8499999999,1,59062.100000000006,index
6,663695,FCD.adult,687424.6499999999,639411.6499999999,1,66369.5,index
7,713703,FCD.adult,740370.65,686735.65,1,71370.3,index
8,742223,FCD.adult,768975.25,715408.2000000001,1,74222.3,index
9,811977,FCD.adult,843816.8499999999,784238.25,1,81197.70000000001,index
10,728900,FCD.adult,757758.65,701377.4,1,72890,index
